date,difficultyBtc
2011-01-01,14484.0
2011-01-02,14484.0
2011-01-03,16307.0
2011-01-04,16307.0
2011-01-05,16307.0
2011-01-06,16307.0
2011-01-07,16307.0
2011-01-08,16307.0
2011-01-09,16307.0
2011-01-10,16307.0
2011-01-11,16307.0
2011-01-12,16307.0
2011-01-13,16307.0
2011-01-14,16307.0
2011-01-15,18438.0
2011-01-16,18438.0
2011-01-17,18438.0
2011-01-18,18438.0
2011-01-19,18438.0
2011-01-20,18438.0
2011-01-21,18438.0
2011-01-22,18438.0
2011-01-23,18438.0
2011-01-24,18438.0
2011-01-25,18438.0
2011-01-26,18438.0
2011-01-27,22012.0
2011-01-28,22012.0
2011-01-29,22012.0
2011-01-30,22012.0
2011-01-31,22012.0
2011-02-01,22012.0
2011-02-02,22012.0
2011-02-03,22012.0
2011-02-04,22012.0
2011-02-05,22012.0
2011-02-06,22012.0
2011-02-07,22012.0
2011-02-08,25998.0
2011-02-09,25998.0
2011-02-10,25998.0
2011-02-11,25998.0
2011-02-12,25998.0
2011-02-13,25998.0
2011-02-14,25998.0
2011-02-15,25998.0
2011-02-16,25998.0
2011-02-17,25998.0
2011-02-18,36460.0
2011-02-19,36460.0
2011-02-20,36460.0
2011-02-21,36460.0
2011-02-22,36460.0
2011-02-23,36460.0
2011-02-24,36460.0
2011-02-25,36460.0
2011-02-26,36460.0
2011-02-27,55590.0
2011-02-28,55590.0
2011-03-01,55590.0
2011-03-02,55590.0
2011-03-03,55590.0
2011-03-04,55590.0
2011-03-05,55590.0
2011-03-06,55590.0
2011-03-07,55590.0
2011-03-08,55590.0
2011-03-09,76193.0
2011-03-10,76193.0
2011-03-11,76193.0
2011-03-12,76193.0
2011-03-13,76193.0
2011-03-14,76193.0
2011-03-15,76193.0
2011-03-16,76193.0
2011-03-17,76193.0
2011-03-18,76193.0
2011-03-19,76193.0
2011-03-20,76193.0
2011-03-21,76193.0
2011-03-22,76193.0
2011-03-23,76193.0
2011-03-24,76193.0
2011-03-25,68978.0
2011-03-26,68978.0
2011-03-27,68978.0
2011-03-28,68978.0
2011-03-29,68978.0
2011-03-30,68978.0
2011-03-31,68978.0
2011-04-01,68978.0
2011-04-02,68978.0
2011-04-03,68978.0
2011-04-04,68978.0
2011-04-05,82346.0
2011-04-06,82346.0
2011-04-07,82346.0
2011-04-08,82346.0
2011-04-09,82346.0
2011-04-10,82346.0
2011-04-11,82346.0
2011-04-12,82346.0
2011-04-13,82346.0
2011-04-14,82346.0
2011-04-15,82346.0
2011-04-16,82346.0
2011-04-17,82346.0
2011-04-18,92348.0
2011-04-19,92348.0
2011-04-20,92348.0
2011-04-21,92348.0
2011-04-22,92348.0
2011-04-23,92348.0
2011-04-24,92348.0
2011-04-25,92348.0
2011-04-26,92348.0
2011-04-27,92348.0
2011-04-28,92348.0
2011-04-29,92348.0
2011-04-30,109670.0
2011-05-01,109670.0
2011-05-02,109670.0
2011-05-03,109670.0
2011-05-04,109670.0
2011-05-05,109670.0
2011-05-06,109670.0
2011-05-07,109670.0
2011-05-08,109670.0
2011-05-09,157416.0
2011-05-10,157416.0
2011-05-11,157416.0
2011-05-12,157416.0
2011-05-13,157416.0
2011-05-14,157416.0
2011-05-15,157416.0
2011-05-16,157416.0
2011-05-17,157416.0
2011-05-18,244112.0
2011-05-19,244112.0
2011-05-20,244112.0
2011-05-21,244112.0
2011-05-22,244112.0
2011-05-23,244112.0
2011-05-24,244112.0
2011-05-25,244112.0
2011-05-26,434877.0
2011-05-27,434877.0
2011-05-28,434877.0
2011-05-29,434877.0
2011-05-30,434877.0
2011-05-31,434877.0
2011-06-01,434877.0
2011-06-02,434877.0
2011-06-03,434877.0
2011-06-04,434877.0
2011-06-05,434877.0
2011-06-06,567270.0
2011-06-07,567270.0
2011-06-08,567270.0
2011-06-09,567270.0
2011-06-10,567270.0
2011-06-11,567270.0
2011-06-12,567270.0
2011-06-13,567270.0
2011-06-14,567270.0
2011-06-15,876954.0
2011-06-16,876954.0
2011-06-17,876954.0
2011-06-18,876954.0
2011-06-19,876954.0
2011-06-20,876954.0
2011-06-21,876954.0
2011-06-22,876954.0
2011-06-23,876954.0
2011-06-24,1379192.0
2011-06-25,1379192.0
2011-06-26,1379192.0
2011-06-27,1379192.0
2011-06-28,1379192.0
2011-06-29,1379192.0
2011-06-30,1379192.0
2011-07-01,1379192.0
2011-07-02,1379192.0
2011-07-03,1379192.0
2011-07-04,1379192.0
2011-07-05,1379192.0
2011-07-06,1563028.0
2011-07-07,1563028.0
2011-07-08,1563028.0
2011-07-09,1563028.0
2011-07-10,1563028.0
2011-07-11,1563028.0
2011-07-12,1563028.0
2011-07-13,1563028.0
2011-07-14,1563028.0
2011-07-15,1563028.0
2011-07-16,1563028.0
2011-07-17,1563028.0
2011-07-18,1563028.0
2011-07-19,1690896.0
2011-07-20,1690896.0
2011-07-21,1690896.0
2011-07-22,1690896.0
2011-07-23,1690896.0
2011-07-24,1690896.0
2011-07-25,1690896.0
2011-07-26,1690896.0
2011-07-27,1690896.0
2011-07-28,1690896.0
2011-07-29,1690896.0
2011-07-30,1690896.0
2011-07-31,1690896.0
2011-08-01,1888787.0
2011-08-02,1888787.0
2011-08-03,1888787.0
2011-08-04,1888787.0
2011-08-05,1888787.0
2011-08-06,1888787.0
2011-08-07,1888787.0
2011-08-08,1888787.0
2011-08-09,1888787.0
2011-08-10,1888787.0
2011-08-11,1888787.0
2011-08-12,1888787.0
2011-08-13,1888787.0
2011-08-14,1888787.0
2011-08-15,1805701.0
2011-08-16,1805701.0
2011-08-17,1805701.0
2011-08-18,1805701.0
2011-08-19,1805701.0
2011-08-20,1805701.0
2011-08-21,1805701.0
2011-08-22,1805701.0
2011-08-23,1805701.0
2011-08-24,1805701.0
2011-08-25,1805701.0
2011-08-26,1805701.0
2011-08-27,1805701.0
2011-08-28,1805701.0
2011-08-29,1805701.0
2011-08-30,1777774.0
2011-08-31,1777774.0
2011-09-01,1777774.0
2011-09-02,1777774.0
2011-09-03,1777774.0
2011-09-04,1777774.0
2011-09-05,1777774.0
2011-09-06,1777774.0
2011-09-07,1777774.0
2011-09-08,1777774.0
2011-09-09,1777774.0
2011-09-10,1777774.0
2011-09-11,1777774.0
2011-09-12,1777774.0
2011-09-13,1755425.0
2011-09-14,1755425.0
2011-09-15,1755425.0
2011-09-16,1755425.0
2011-09-17,1755425.0
2011-09-18,1755425.0
2011-09-19,1755425.0
2011-09-20,1755425.0
2011-09-21,1755425.0
2011-09-22,1755425.0
2011-09-23,1755425.0
2011-09-24,1755425.0
2011-09-25,1755425.0
2011-09-26,1755425.0
2011-09-27,1689334.0
2011-09-28,1689334.0
2011-09-29,1689334.0
2011-09-30,1689334.0
2011-10-01,1689334.0
2011-10-02,1689334.0
2011-10-03,1689334.0
2011-10-04,1689334.0
2011-10-05,1689334.0
2011-10-06,1689334.0
2011-10-07,1689334.0
2011-10-08,1689334.0
2011-10-09,1689334.0
2011-10-10,1689334.0
2011-10-11,1689334.0
2011-10-12,1689334.0
2011-10-13,1689334.0
2011-10-14,1468195.0
2011-10-15,1468195.0
2011-10-16,1468195.0
2011-10-17,1468195.0
2011-10-18,1468195.0
2011-10-19,1468195.0
2011-10-20,1468195.0
2011-10-21,1468195.0
2011-10-22,1468195.0
2011-10-23,1468195.0
2011-10-24,1468195.0
2011-10-25,1468195.0
2011-10-26,1468195.0
2011-10-27,1468195.0
2011-10-28,1468195.0
2011-10-29,1468195.0
2011-10-30,1468195.0
2011-10-31,1203462.0
2011-11-01,1203462.0
2011-11-02,1203462.0
2011-11-03,1203462.0
2011-11-04,1203462.0
2011-11-05,1203462.0
2011-11-06,1203462.0
2011-11-07,1203462.0
2011-11-08,1203462.0
2011-11-09,1203462.0
2011-11-10,1203462.0
2011-11-11,1203462.0
2011-11-12,1203462.0
2011-11-13,1203462.0
2011-11-14,1192498.0
2011-11-15,1192498.0
2011-11-16,1192498.0
2011-11-17,1192498.0
2011-11-18,1192498.0
2011-11-19,1192498.0
2011-11-20,1192498.0
2011-11-21,1192498.0
2011-11-22,1192498.0
2011-11-23,1192498.0
2011-11-24,1192498.0
2011-11-25,1192498.0
2011-11-26,1192498.0
2011-11-27,1192498.0
2011-11-28,1192498.0
2011-11-29,1090716.0
2011-11-30,1090716.0
2011-12-01,1090716.0
2011-12-02,1090716.0
2011-12-03,1090716.0
2011-12-04,1090716.0
2011-12-05,1090716.0
2011-12-06,1090716.0
2011-12-07,1090716.0
2011-12-08,1090716.0
2011-12-09,1090716.0
2011-12-10,1090716.0
2011-12-11,1090716.0
2011-12-12,1155038.0
2011-12-13,1155038.0
2011-12-14,1155038.0
2011-12-15,1155038.0
2011-12-16,1155038.0
2011-12-17,1155038.0
2011-12-18,1155038.0
2011-12-19,1155038.0
2011-12-20,1155038.0
2011-12-21,1155038.0
2011-12-22,1155038.0
2011-12-23,1155038.0
2011-12-24,1155038.0
2011-12-25,1155038.0
2011-12-26,1159929.0
2011-12-27,1159929.0
2011-12-28,1159929.0
2011-12-29,1159929.0
2011-12-30,1159929.0
2011-12-31,1159929.0
2012-01-01,1159929.0
2012-01-02,1159929.0
2012-01-03,1159929.0
2012-01-04,1159929.0
2012-01-05,1159929.0
2012-01-06,1159929.0
2012-01-07,1159929.0
2012-01-08,1250758.0
2012-01-09,1250758.0
2012-01-10,1250758.0
2012-01-11,1250758.0
2012-01-12,1250758.0
2012-01-13,1250758.0
2012-01-14,1250758.0
2012-01-15,1250758.0
2012-01-16,1250758.0
2012-01-17,1250758.0
2012-01-18,1250758.0
2012-01-19,1250758.0
2012-01-20,1250758.0
2012-01-21,1250758.0
2012-01-22,1307728.0
2012-01-23,1307728.0
2012-01-24,1307728.0
2012-01-25,1307728.0
2012-01-26,1307728.0
2012-01-27,1307728.0
2012-01-28,1307728.0
2012-01-29,1307728.0
2012-01-30,1307728.0
2012-01-31,1307728.0
2012-02-01,1307728.0
2012-02-02,1307728.0
2012-02-03,1307728.0
2012-02-04,1379647.0
2012-02-05,1379647.0
2012-02-06,1379647.0
2012-02-07,1379647.0
2012-02-08,1379647.0
2012-02-09,1379647.0
2012-02-10,1379647.0
2012-02-11,1379647.0
2012-02-12,1379647.0
2012-02-13,1379647.0
2012-02-14,1379647.0
2012-02-15,1379647.0
2012-02-16,1379647.0
2012-02-17,1379647.0
2012-02-18,1376302.0
2012-02-19,1376302.0
2012-02-20,1376302.0
2012-02-21,1376302.0
2012-02-22,1376302.0
2012-02-23,1376302.0
2012-02-24,1376302.0
2012-02-25,1376302.0
2012-02-26,1376302.0
2012-02-27,1376302.0
2012-02-28,1376302.0
2012-02-29,1376302.0
2012-03-01,1376302.0
2012-03-02,1496979.0
2012-03-03,1496979.0
2012-03-04,1496979.0
2012-03-05,1496979.0
2012-03-06,1496979.0
2012-03-07,1496979.0
2012-03-08,1496979.0
2012-03-09,1496979.0
2012-03-10,1496979.0
2012-03-11,1496979.0
2012-03-12,1496979.0
2012-03-13,1496979.0
2012-03-14,1496979.0
2012-03-15,1496979.0
2012-03-16,1498294.0
2012-03-17,1498294.0
2012-03-18,1498294.0
2012-03-19,1498294.0
2012-03-20,1498294.0
2012-03-21,1498294.0
2012-03-22,1498294.0
2012-03-23,1498294.0
2012-03-24,1498294.0
2012-03-25,1498294.0
2012-03-26,1498294.0
2012-03-27,1498294.0
2012-03-28,1498294.0
2012-03-29,1626553.0
2012-03-30,1626553.0
2012-03-31,1626553.0
2012-04-01,1626553.0
2012-04-02,1626553.0
2012-04-03,1626553.0
2012-04-04,1626553.0
2012-04-05,1626553.0
2012-04-06,1626553.0
2012-04-07,1626553.0
2012-04-08,1626553.0
2012-04-09,1626553.0
2012-04-10,1626553.0
2012-04-11,1626553.0
2012-04-12,1577913.0
2012-04-13,1577913.0
2012-04-14,1577913.0
2012-04-15,1577913.0
2012-04-16,1577913.0
2012-04-17,1577913.0
2012-04-18,1577913.0
2012-04-19,1577913.0
2012-04-20,1577913.0
2012-04-21,1577913.0
2012-04-22,1577913.0
2012-04-23,1577913.0
2012-04-24,1577913.0
2012-04-25,1577913.0
2012-04-26,1577913.0
2012-04-27,1508590.0
2012-04-28,1508590.0
2012-04-29,1508590.0
2012-04-30,1508590.0
2012-05-01,1508590.0
2012-05-02,1508590.0
2012-05-03,1508590.0
2012-05-04,1508590.0
2012-05-05,1508590.0
2012-05-06,1508590.0
2012-05-07,1508590.0
2012-05-08,1508590.0
2012-05-09,1733208.0
2012-05-10,1733208.0
2012-05-11,1733208.0
